LIST_NUM;LIST_NAME;CAND_NUM;CAND_NAME;CAND_PICTURE
6;VERDI GRÜNE VERC;27;Ortner Johannes;27 Ortner_Johannes.jpg
6;VERDI GRÜNE VERC;28;Peruffo Antonio;28 Peruffo Antonio.jpg
6;VERDI GRÜNE VERC;29;Planer Tobias (Tobe);29 Planer Tobias (Tobe).jpg
6;VERDI GRÜNE VERC;30;Prenner Gabriel;30 Prenner_Gabriel.jpg
6;VERDI GRÜNE VERC;31;Profanter Simon;31 Profanter Simon.jpg
6;VERDI GRÜNE VERC;32;Rossi Andrea;32 Rossi Andrea.jpg
6;VERDI GRÜNE VERC;33;Stenico Verena;33 Stenico Verena.jpg
6;VERDI GRÜNE VERC;34;Troger Christian;34 Troger Christian.jpg
6;VERDI GRÜNE VERC;35;Vullo Pascal Daniel;35 Vullo Pascal.jpg
7;FRATELLI D´ITALIA;1;Galateo Marco;1. GALATEO MARCO.jpeg
7;FRATELLI D´ITALIA;2;Borin Bruno;2. BORIN BRUNO.jpg
7;FRATELLI D´ITALIA;3;Zampieri Paola;3. ZAMPIERI PAOLA.JPG
7;FRATELLI D´ITALIA;4;Bova Antonio;4. BOVA ANTONIO.PNG
7;FRATELLI D´ITALIA;5;Forest Alessandro;5. FOREST ALESSANDRO.JPG
7;FRATELLI D´ITALIA;6;Stagni Stefano;6. STAGNI STEFANO.jpg
7;FRATELLI D´ITALIA;7;Myftiu Tritan (Tani);7. MYFTIU TRITAN.jpg
7;FRATELLI D´ITALIA;8;Scarafoni Anna;8. SCARAFONI ANNA.jpg
7;FRATELLI D´ITALIA;9;Cantoro Luigi Antonio;9. CANTORO LUIGI ANTONIO.jpg
7;FRATELLI D´ITALIA;10;Valenti Rosa;10. ROSA VALENTI.jpg
7;FRATELLI D´ITALIA;11;Tondini Mario;11. TONDINI MARIO.jpg
7;FRATELLI D´ITALIA;12;Daves Irvin;12. DAVES IRVIN.jpeg
7;FRATELLI D´ITALIA;13;Franchino Linda Zaira;13. FRANCHINO LINDA ZAIRA.JPG
7;FRATELLI D´ITALIA;14;Morato Mauro;14. MORATO MAURO.JPG
7;FRATELLI D´ITALIA;15;Salvadori Diego;15. SALVADORI DIEGO.jpg
7;FRATELLI D´ITALIA;16;Baratto Floriano Pietro;16. BARATTO FLORIANO PIETRO.jpeg
