MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;16;FÜR SÜDTIROL MIT WIDMANN;30
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;1;TEAM K;1307
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;2;MOVIMENTO 5 STELLE;84
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;3;ENZIAN;46
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;4;STF SÜDTIROLER FREIHEIT;907
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;474
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;6;VERDI GRÜNE VËRC;1117
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;7;FRATELLI D’ITALIA;637
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;8;LA CIVICA;51
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;9;JWA - WIRTH ANDERLAN;390
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;10;DIE FREIHEITLICHEN;359
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;11;FORZA ITALIA;45
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;12;VITA;280
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;13;CENTRO DESTRA;78
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;14;SVP SÜDTIROLER VOLKSPARTEI;4716
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;385
021011;BRESSANONE;BRIXEN;PERSENON;22;22;79;144;16;FÜR SÜDTIROL MIT WIDMANN;217
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;1;TEAM K;71
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;2;MOVIMENTO 5 STELLE;22
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;3;ENZIAN;3
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;4;STF SÜDTIROLER FREIHEIT;40
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;107
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;6;VERDI GRÜNE VËRC;112
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;7;FRATELLI D’ITALIA;189
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;8;LA CIVICA;35
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;9;JWA - WIRTH ANDERLAN;38
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;10;DIE FREIHEITLICHEN;26
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;11;FORZA ITALIA;12
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;12;VITA;46
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;13;CENTRO DESTRA;9
